,KID1,KID3,KID5,KID7,KID9,KID11,CRAC_set,CRAC_out,time,temp1,temp2,temp3,CPU_mean_KID1,FAN_mean_KID1,CPU_mean_KID3,FAN_mean_KID3,CPU_mean_KID5,FAN_mean_KID5,CPU_mean_KID7,FAN_mean_KID7,CPU_mean_KID9,FAN_mean_KID9,CPU_mean_KID11,FAN_mean_KID11
124,17,14,5,6,17,3,80,65,,35.2,33.7,35.2,51.223404255319146,55.838387096774206,45.96153846153846,41.41700000000002,42.11797752808989,39.488124999999975,40.91279069767442,38.91376470588231,51.524096385542165,49.937317073170775,42.41975308641975,35.90687500000002
125,21,0,2,9,9,23,80,65,,35,34,34.6,50.99444444444445,61.44865168539316,40.0,44.752272727272775,40.21511627906977,38.80999999999996,45.01204819277108,40.62512195121951,51.72839506172839,53.46181249999997,50.421052631578945,42.315466666666694
126,2,19,18,4,24,13,80,65,,36.1,35.2,34.6,45.54705882352941,32.2054761904762,50.31547619047619,36.51397590361448,48.976470588235294,44.42761904761906,40.411764705882355,39.411071428571404,51.3,49.04500000000006,51.48255813953488,41.911529411764725
127,15,21,23,17,3,15,80,65,,35.5,34.9,35.8,50.84615384615385,59.3968888888889,50.1875,47.17103448275864,50.67058823529412,50.51238095238092,44.61764705882353,42.32285714285711,48.096385542168676,34.46792682926829,52.48101265822785,43.113974358974396
128,18,18,12,0,7,1,80,65,,35.7,34.9,35.1,50.96774193548387,57.10989130434776,50.17777777777778,42.058426966292146,49.00568181818182,41.92275862068964,40.0,38.91883720930228,52.24096385542169,42.41768292682929,41.45061728395062,29.949999999999996
129,12,6,24,5,19,19,80,65,,35,34.4,35.3,51.096774193548384,54.984239130434695,48.14835164835165,39.15200000000002,49.86607142857143,48.84345454545453,40.36046511627907,42.527588235294076,52.355421686746986,50.175121951219495,50.91139240506329,41.45564102564106
130,11,23,10,1,21,12,80,65,,35.7,34.8,34.9,51.0989010989011,53.86344444444441,50.45977011494253,45.9090697674419,49.22093023255814,45.38388235294119,40.0,39.125783132530074,52.98125,48.815063291139246,52.0253164556962,38.09858974358973
131,7,1,11,15,0,14,80,65,,36.2,36,36.2,51.857142857142854,47.30077777777775,40.0,30.019545454545483,47.68023255813954,41.607294117647086,44.273809523809526,39.37180722891563,40.0,24.779750000000014,49.85,36.507721518987346
132,21,5,2,16,12,19,80,65,,35.4,34.1,35.6,51.28409090909091,62.45942528735622,42.44252873563219,48.94465116279066,40.0,39.02253012048189,45.25903614457831,39.148902439024354,51.82716049382716,49.577375,52.20779220779221,42.29473684210527
133,4,7,21,1,19,24,80,65,,36.2,35.3,35.4,50.57865168539326,35.83693181818183,49.75581395348837,40.03411764705883,49.06024096385542,43.904634146341486,40.0,39.11573170731704,52.892405063291136,50.84884615384616,52.339622641509436,46.033461538461516
134,24,6,14,1,18,6,80,65,,35.6,35,34.7,50.5,65.26507936507933,43.48850574712644,53.052790697674375,50.04705882352941,42.96166666666664,40.0,39.04365853658533,52.55128205128205,50.23662337662338,49.86538461538461,33.9261038961039
135,12,5,14,6,18,14,80,65,,35.6,34.9,35,51.44886363636363,51.47517241379306,45.03488372093023,37.239882352941216,50.904761904761905,44.494156626506005,40.646341463414636,39.158148148148115,52.949367088607595,51.02025641025641,52.16233766233766,37.14710526315791
136,16,10,8,20,10,3,80,65,,35.8,34.8,34.8,51.142857142857146,56.469499999999954,49.247191011235955,41.66681818181822,49.40588235294118,44.24059523809521,45.19753086419753,39.38662499999998,52.25316455696203,52.060256410256414,43.107594936708864,36.51641025641027
137,14,3,19,12,19,21,80,65,,35.3,34.6,35.1,51.68539325842696,53.33613636363628,44.72159090909091,40.9731034482759,50.40588235294118,46.25690476190474,45.80722891566265,40.43926829268292,53.0875,51.34620253164559,51.973684210526315,42.2422666666667
138,8,18,15,12,10,2,80,65,,35.8,35.2,34.7,52.467032967032964,52.57055555555552,50.35795454545455,42.670229885057495,49.31976744186046,42.86647058823529,45.23780487804878,39.49691358024688,51.833333333333336,52.571625,40.32051282051282,37.41779220779224
139,10,8,13,7,3,2,80,65,,35.8,35.2,35.5,52.17045454545455,54.143333333333345,50.71511627906977,44.24658823529411,49.910714285714285,44.06987951807229,43.23170731707317,39.2101234567901,47.69135802469136,31.855500000000013,41.22435897435897,26.715064935064976
140,0,19,3,12,16,18,80,65,,35.5,34.6,35.3,40.0,34.63771739130433,50.31609195402299,48.45790697674417,41.98235294117647,39.542023809523776,45.07831325301205,39.6312195121951,51.99375,52.12468354430379,50.17307692307692,40.00792207792208
141,19,3,8,15,14,9,80,65,,35.6,35,35,50.92134831460674,57.76261363636354,42.62359550561798,43.76534090909091,49.05747126436781,41.86662790697673,45.67857142857143,39.50289156626503,51.89156626506024,52.05365853658533,51.7875,42.82240506329117
142,7,12,3,1,11,22,80,65,,35.7,34.3,35.4,51.5,46.94899999999998,49.70786516853933,39.30659090909093,40.87356321839081,39.242674418604615,40.0,39.072588235294084,51.5722891566265,50.615365853658524,52.42307692307692,46.2496103896104
143,9,8,1,18,11,3,80,65,,35.9,34.3,34.8,52.40449438202247,55.34397727272722,51.924418604651166,39.51364705882353,40.0,38.80999999999996,44.579268292682926,39.29246913580245,52.25308641975309,49.22799999999999,42.756410256410255,34.546753246753234
144,7,19,7,3,20,6,80,65,,35.8,34.7,34.8,51.752808988764045,51.75318181818179,50.61494252873563,49.73906976744184,45.73255813953488,41.60329411764704,40.04819277108434,38.867073170731665,52.725,50.78088607594938,46.58974358974359,36.640259740259744
145,20,16,23,10,23,22,80,65,,35.2,34.6,35,51.28977272727273,62.87942528735625,48.43023255813954,50.061058823529414,50.396341463414636,46.85135802469131,45.26829268292683,41.7988888888889,52.91025641025641,51.7465584415585,52.96666666666667,44.88891891891892
146,1,18,9,10,2,15,80,65,,35.6,35.4,35.5,43.85795454545455,32.850804597701156,50.72352941176471,47.21238095238097,50.28313253012048,48.34439024390248,47.32098765432099,40.729375,45.45625,27.75784810126584,51.8974358974359,44.84909090909089
147,14,20,12,22,13,20,80,65,,35.7,34.9,35.1,50.59239130434783,58.46934065934069,50.44318181818182,45.097126436781636,49.14942528735632,41.94930232558137,45.86144578313253,39.624268292682906,51.53012048192771,49.81695121951221,52.0,44.12506329113926
148,11,21,16,16,2,13,80,65,,35.8,35.2,35.6,51.05263157894737,49.39670212765948,50.0989010989011,46.44788888888891,49.55357142857143,45.000963855421666,45.21341463414634,40.16358024691357,45.39375,28.691265822784835,51.8525641025641,41.93272727272726
149,11,9,6,2,19,8,80,65,,35.7,34.4,34.9,51.80113636363637,55.810344827586185,50.622093023255815,43.8349411764706,45.629411764705885,39.90976190476189,40.0,39.16249999999996,52.70779220779221,53.22973684210528,50.901315789473685,49.876933333333284
